dbo,AUDIT_DDB_ADDRESS_BASE,1,ADDRESSID,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,2,ADDRESSDB,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,3,STREET,varchar,60,0
dbo,AUDIT_DDB_ADDRESS_BASE,4,STREET2,varchar,60,0
dbo,AUDIT_DDB_ADDRESS_BASE,5,CITY,varchar,50,0
dbo,AUDIT_DDB_ADDRESS_BASE,6,STATE,varchar,21,0
dbo,AUDIT_DDB_ADDRESS_BASE,7,ZIP,varchar,15,0
dbo,AUDIT_DDB_ADDRESS_BASE,8,COUNTRY,varchar,255,0
dbo,AUDIT_DDB_ADDRESS_BASE,11,PTRCOUNT,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,12,DELETE1,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,13,UNUSED1,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,14,LastUpdateMethod,varchar,30,0
dbo,AUDIT_DDB_ADDRESS_BASE,15,LastUpdateSystem,varchar,30,0
dbo,AUDIT_DDB_ADDRESS_BASE,16,DDB_LAST_MOD,datetime,8,23
dbo,AUDIT_DDB_ADDRESS_BASE,17,County,varchar,30,0
dbo,AUDIT_DDB_ADDRESS_BASE,18,N_ADDRESSID,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,19,N_ADDRESSDB,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,20,N_STREET,varchar,60,0
dbo,AUDIT_DDB_ADDRESS_BASE,21,N_STREET2,varchar,60,0
dbo,AUDIT_DDB_ADDRESS_BASE,22,N_CITY,varchar,50,0
dbo,AUDIT_DDB_ADDRESS_BASE,23,N_STATE,varchar,21,0
dbo,AUDIT_DDB_ADDRESS_BASE,24,N_ZIP,varchar,15,0
dbo,AUDIT_DDB_ADDRESS_BASE,25,N_COUNTRY,varchar,255,0
dbo,AUDIT_DDB_ADDRESS_BASE,28,N_PTRCOUNT,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,29,N_DELETE1,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,30,N_UNUSED1,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,31,N_LastUpdateMethod,varchar,30,0
dbo,AUDIT_DDB_ADDRESS_BASE,32,N_LastUpdateSystem,varchar,30,0
dbo,AUDIT_DDB_ADDRESS_BASE,33,N_DDB_LAST_MOD,datetime,8,23
dbo,AUDIT_DDB_ADDRESS_BASE,34,N_County,varchar,30,0
dbo,AUDIT_DDB_ADDRESS_BASE,35,USER_CHANGED,char,50,0
dbo,AUDIT_DDB_ADDRESS_BASE,36,DATE_CHANGED,datetime,8,23
dbo,AUDIT_DDB_ADDRESS_BASE,37,PatID,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,38,n_PatID,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,39,PatDB,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,40,n_PatDB,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,41,EffectiveDate,datetime,8,23
dbo,AUDIT_DDB_ADDRESS_BASE,42,n_EffectiveDate,datetime,8,23
dbo,AUDIT_DDB_ADDRESS_BASE,43,EndDate,datetime,8,23
dbo,AUDIT_DDB_ADDRESS_BASE,44,n_EndDate,datetime,8,23
dbo,AUDIT_DDB_ADDRESS_BASE,45,Type,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,46,n_Type,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,47,STREET3,varchar,60,0
dbo,AUDIT_DDB_ADDRESS_BASE,48,n_STREET3,varchar,60,0
dbo,AUDIT_DDB_ADDRESS_BASE,49,EXTID,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,50,n_EXTID,int,4,10
dbo,AUDIT_DDB_ADDRESS_BASE,51,AuditId,int,4,10
dbo,AUDIT_DDB_APPT_BASE,1,APPTID,int,4,10
dbo,AUDIT_DDB_APPT_BASE,2,APPTDB,int,4,10
dbo,AUDIT_DDB_APPT_BASE,3,PATID,int,4,10
dbo,AUDIT_DDB_APPT_BASE,4,PATDB,int,4,10
dbo,AUDIT_DDB_APPT_BASE,5,OPID,int,4,10
dbo,AUDIT_DDB_APPT_BASE,6,OPDB,int,4,10
dbo,AUDIT_DDB_APPT_BASE,7,PRPROVID,int,4,10
dbo,AUDIT_DDB_APPT_BASE,8,PRPROVDB,int,4,10
dbo,AUDIT_DDB_APPT_BASE,9,SCPROVID,int,4,10
dbo,AUDIT_DDB_APPT_BASE,10,SCPROVDB,int,4,10
dbo,AUDIT_DDB_APPT_BASE,11,NEWPATADDRESSID,int,4,10
dbo,AUDIT_DDB_APPT_BASE,12,NEWPATADDRESSDB,int,4,10
dbo,AUDIT_DDB_APPT_BASE,13,APPTDATE,datetime,8,23
dbo,AUDIT_DDB_APPT_BASE,14,SMALLAPPTID,smallint,2,5
dbo,AUDIT_DDB_APPT_BASE,15,CLASS,int,4,10
dbo,AUDIT_DDB_APPT_BASE,16,PATNAME,varchar,50,0
dbo,AUDIT_DDB_APPT_BASE,17,APPTLEN,int,4,10
